Itinerary,Flight_legs,Pax
I2649,F1099-F1394,17
I2650,F1393-F1394,17
I2651,F1394,50
I2652,F375-F1395,13
I2653,F1393-F1394-F1395,12
I2654,F1395,71
I2655,F1396,96
I2656,F725-F1397,14
I2657,F1194-F1397,39
I2658,F1397,43
I2659,F533-F1398,4
I2660,F558-F1398,17
I2661,F1398,75
I2662,F568-F1399,2
I2663,F702-F1399,17
I2664,F969-F1399,31
I2665,F1399,46
I2666,F1400,96
I2667,F64-F1401,7
I2668,F78-F1401,3
I2669,F364-F1401,12
I2670,F1401,74
I2671,F1402,96
I2672,F1403,96
I2673,F19-F1404,2
I2674,F553-F1404,4
I2675,F1404,59
I2676,F725-F1405,8
I2677,F963-F1405,22
I2678,F1144-F1405,28
I2679,F1272-F1405,29
I2680,F1405,9
I2681,F1406,43
I2682,F1406-F1407,29
I2683,F1407,67
I2684,F1408,96
I2685,F105-F1409,16
I2686,F400-F1409,7
I2687,F568-F1409,1
I2688,F702-F1409,13
I2689,F404-F827-F1409,10
I2690,F1406-F1409,24
I2691,F1409,21
I2692,F694-F1341-F1410,6
I2693,F400-F1409-F1410,4
I2694,F1410,86
I2695,F1411,54
I2696,F533-F1412,4
I2697,F938-F1412,9
I2698,F1243-F1412,22
I2699,F1411-F1412,42
I2700,F1412,19
I2701,F221-F1413,32
I2702,F1413,64
I2703,F1414,96
I2704,F58-F1415,3
I2705,F79-F1415,7
I2706,F155-F1415,12
I2707,F432-F1415,16
I2708,F544-F545-F1415,13
I2709,F409-F704-F1415,6
I2710,F1146-F1415,32
I2711,F553-F1404-F1415,1
I2712,F1415,6
I2713,F1416,96
I2714,F1417,96
I2715,F1418,96
I2716,F293-F1419,15
I2717,F1419,81
I2718,F1420,96
I2719,F1198-F1421,36
I2720,F1421,60
I2721,F679-F1422,14
I2722,F759-F1422,17
I2723,F1422,65
I2724,F23-F1423,12
I2725,F74-F1423,8
I2726,F126-F1423,19
I2727,F830-F1423,20
I2728,F1423,37
I2729,F161-F1424,7
I2730,F399-F1424,1
I2731,F806-F907-F1424,11
I2732,F948-F1424,4
I2733,F977-F1424,27
I2734,F1304-F1424,4
I2735,F1424,42
I2736,F1425,96
I2737,F1426,96
I2738,F1057-F1427,37
I2739,F1427,59
I2740,F109-F1428,18
I2741,F499-F1428,13
I2742,F525-F1428,18
I2743,F527-F1428,10
I2744,F816-F1428,22
I2745,F1428,15
I2746,F1429,96
I2747,F1430,96
I2748,F1431,96
I2749,F26-F1432,1
I2750,F58-F1432,1
I2751,F89-F1432,4
I2752,F435-F1432,19
I2753,F1022-F1432,23
I2754,F1169-F1432,28
I2755,F1432,20
I2756,F299-F1433,28
I2757,F1105-F1433,37
I2758,F1433,31
I2759,F1434,96
I2760,F333-F1435,21
I2761,F1435,75
I2762,F1436,60
I2763,F1436-F1437,36
I2764,F1437,60
I2765,F1438,96
I2766,F1439,96
I2767,F1440,96
I2768,F1441,96
I2769,F309-F1442,9
I2770,F1140-F1442,32
I2771,F1342-F1442,24
I2772,F1442,31
I2773,F1443,96
I2774,F404-F1444,19
I2775,F456-F1444,1
I2776,F698-F1444,7
I2777,F925-F1444,29
I2778,F999-F1444,12
I2779,F1327-F1444,27
I2780,F1444,1
I2781,F1445,67
I2782,F1445-F1446,29
I2783,F1446,67
I2784,F30-F1447,2
I2785,F829-F1447,25
I2786,F397-F978-F1447,5
I2787,F1005-F1447,10
I2788,F1447,54
I2789,F1448,96
I2790,F38-F1449,13
I2791,F173-F1449,3
I2792,F341-F1449,1
I2793,F430-F1449,2
I2794,F1163-F1449,21
I2795,F1449,56
I2796,F161-F1450,7
I2797,F349-F1450,9
I2798,F362-F1450,10
I2799,F469-F1450,5
I2800,F769-F1450,43
I2801,F948-F1450,3
I2802,F1450,19
I2803,F1451,96
I2804,F955-F1452,42
I2805,F1452,54
I2806,F38-F1453,6
I2807,F430-F1453,1
I2808,F550-F1453,4
I2809,F1214-F1453,19
I2810,F1453,66
I2811,F1454,96
I2812,F1455,96
I2813,F1325-F1456,21
I2814,F1379-F1456,43
I2815,F1456,23
I2816,F200-F201-F1457,18
I2817,F109-F355-F1457,6
I2818,F922-F1457,17
I2819,F1177-F1457,38
I2820,F1325-F1456-F1457,9
I2821,F1457,8
I2822,F1458,96
I2823,F642-F1459,3
I2824,F829-F1459,14
I2825,F1137-F1459,13
I2826,F1459,66
I2827,F1460,96
I2828,F1461,96
I2829,F1091-F1462,33
I2830,F1171-F1462,27
I2831,F1268-F1462,33
I2832,F1462,3
I2833,F1463,96
I2834,F32-F1464,5
I2835,F175-F1464,8
I2836,F273-F1464,7
I2837,F436-F1464,17
I2838,F739-F1464,15
I2839,F883-F1464,20
I2840,F351-F930-F1464,4
I2841,F932-F1464,14
I2842,F1464,6
I2843,F1465,96
I2844,F441-F1466,8
I2845,F609-F1466,14
I2846,F618-F1466,9
I2847,F801-F1466,13
I2848,F888-F1466,16
I2849,F1466,36
I2850,F1467,96
I2851,F83-F1468,20
I2852,F265-F1468,1
I2853,F764-F1468,18
I2854,F835-F1468,5
I2855,F1231-F1468,35
I2856,F1468,17
I2857,F1469,59
I2858,F486-F1470,5
I2859,F1342-F1470,14
I2860,F1469-F1470,37
I2861,F1470,40
I2862,F914-F1471,23
I2863,F1471,73
I2864,F1472,58
I2865,F1201-F1473,21
I2866,F1286-F1473,35
I2867,F1472-F1473,38
I2868,F1473,2
I2869,F357-F1474,32
I2870,F1474,64
I2871,F97-F264-F1475,18
I2872,F334-F1475,3
I2873,F521-F1475,1
I2874,F656-F1475,9
I2875,F687-F1475,4
I2876,F848-F1475,10
I2877,F935-F1475,28
I2878,F976-F1475,15
I2879,F1475,8
I2880,F13-F54-F1476,10
I2881,F199-F1476,6
I2882,F510-F1476,9
I2883,F1085-F1476,31
I2884,F1476,40
I2885,F1477,96
I2886,F434-F1478,5
I2887,F723-F1478,20
I2888,F1214-F1478,14
I2889,F1478,57
I2890,F1479,96
I2891,F1480,62
I2892,F1480-F1481,34
I2893,F1481,62
I2894,F337-F1482,6
I2895,F1022-F1482,13
I2896,F1282-F1283-F1482,18
I2897,F1404-F1482,30
I2898,F1482,29
